Título,Director,Inicio,Fin,Tipo,Identificación,Palabras clave
Plataformas para Grid Híbridos Orientados a MANETs Aplicados a Sistemas de Recomendación Basados en Ubicación,"Cristian Mateos Diaz, Daniela Godoy",2018,2020,PIP,11220170100490CO,"COMPUTACIÓN MÓVIL, GRID HÍBRIDOS, SISTEMAS DE RECOMENDACIÓN"
Modelos de Look-alike para la Expansión de Audiencias,"Cristian Mateos Diaz, Daniela Godoy",2018,2018,"Fundación Sadosky, proyecto colaboración Universidad-Empresa (UNICEN-Retargetly)",S2018.,"LOOK-ALIKE, EXPANSIÓN DE AUDIENCIAS PUBLICITARIAS, BIG DATA, MACHINE LEARNING"
Desarrollo de un prototipo de servicio web para la gestión inteligente de módulos y funciones en archivos JavaScript.,"Claudia Marcos, Andrés Díaz Pace",2017,2018,"Fundación Sadosky, proyecto colaboración Universidad-Empresa (UNICEN-BeeReal)",S2017,"MACHINE LEARNING, JAVASCRIPT, BIG DATA, TECNOLOGIAS WEB"
Optimización Web JavaScript,"Claudia Marcos, Andrés Díaz Pace",2017,2018,Vinculación Tecnológica (SPU),VT38-UNICEN10191,"APRENDIZAJE AUTOMÁTICO, OPTIMIZADOR DE JAVASCRIPT, JAVASCRIPT"
Recomendación Personalizada a Grupos de Usuarios Basada en Sistemas Multi-agente,Schiaffino Silvia,2016,2018,PIP,11220150100030CO,RECOMENDACIÓN PERSONALIZADA A GRUPOS DE USUARIOS BASADA EN SISTEMAS MULTI-AGENTE
Ampliación de la capacidad tecnológica interdisciplinaria para una mayor y más efectiva adopción de TICs en producción animal,Machado Claudio,2015,2018,D-TEC,2013 N°0005/13,AGRO TICS; PRODUCCIÓN ANIMAL; MONITOREO; SENSORES INTELIGENTES
Minería de redes sociales para la recomendación de usuarios,Armentano Marcelo,2015,2018,PICT,2014-2750,MINERÍA DE DATOS; REDES SOCIALES; PERFILES DE USUARIO; SISTEMAS DE RECOMENDACIÓN
Desarrollo de Software Distribuido Orientado a Servicios Energéticamente Eficiente para Dispositivos Móviles,Zunino Alejandro,2014,2017,PICT,2013-0464,COMPUTACIÓN MÓVIL; SERVICIOS WEB; EFICIENCIA ENERGETICA; COMPUTACIÓN DISTRIBUIDA
"Arquitecturas, técnicas escalables y de personalización para sistemas de software híbridos",Diaz Pace Andres,2015,2017,Proyecto de Incentivos,03/C258,ARQUITECTURAS DE SOFWARE; PERFILES DE USUARIO; SISTEMAS HIBRIDOS
Planificadores Basados en Inteligencia Colectiva para el Procesamiento de Experimentos Científicos en Clouds Federados,Pacini Elina,2015,2017,PICT,2014-1430,EXPERIMENTOS CIENTÍFICOS; CLOUD COMPUTING; INTELIGENCIA COLECTIVA; PLANIFICACIÓN
PUMAS - Personalized User-centered Multi-Agent Systems,Schiaffino Silvia,2015,2017,Cooperación bilateral,PUMAS2015,PERSONALIZATION; MULTIAGENT SYSTEMS
Refactoring de Sistemas de Software Conducido por la Arquitectura,Vidal Santiago,2015,2017,PICT,2014-0855,CODE SMELLS; REFACTORING; ARQUITECTURA DE SOFTWARE
"SQuAT: Técnicas de Búsqueda para Gestión de Tradeoffs entre Atributos de Calidad en Optimización de Diseños
de Software",Diaz Pace Andres,2015,2017,Cooperación bilateral,AL/14/04,SOFTWARE DESIGN OPTIMIZATION; MULTI-OBJETIVE SEARCH TECHNIQUES; QUALITY-ATTRIBUTE TRADEOFFS; SOFTWAREARCHITECTURE
Un Metodo Centrado en Arquitecturas de Software para lineas de producto con Soporte de Herramientas,Diaz Pace Andres,2015,2017,PDTS,217,ARQUITECTURAS DE SOFTWARE; MODELO DE DESARROLLO; ARQUITECTURA DE REFERENCIA;PROCESOS
Mecanismos de Soporte para Grids Híbridos Orientados a Servicios y Técnicas de Desarrollo de Aplicaciones,Mateos Diaz Cristian,2013,2016,PICT,2012-0045,COMPUTACIÓN DISTRIBUIDA; GRID COMPUTING; COMPUTACIÓN MÓVIL; SERVICIOS WEB
Un asistente inteligente para la planificación del transporte urbano,Berdun Luis,2014,2016,SPU,32-64-079,AGENTES INTELIGENTES; REDES SOCIALES; PROCESAMIENTO DE LENGUAGE NATURAL
Coordinación basada en Agentes para Desarrollo Distribuido de Software centrado en Arquitecturas,Diaz Pace Andres,2012,2015,PIP,112-201101-00078,DISTRIBUTED SOFTWARE DEVELOPMENT; INTELLIGENT AGENTS; GROUP PROFILES
Construcción de perfiles de usuario para asistencia inteligente en sistemas de trabajo colaborativo soportado por computadoras,Schiaffino Silvia,2012,2016,PICT,2011-0366,MODELADO DE USUARIOS; AGENTES INTELIGENTES
Reconocimiento de intenciones para la memoria organizacional,Armentano Marcelo,2012,2015,PIP,114-201101-00181,RECONOCIMIENTO DE INTENCIONES; MEMORIA ORGANIZACIONAL; ADMINISTARCIÓN DE CONOCIMIENTO
Botnet Detection by means of its network behavioral models,Zunino Alejandro,2013,2015,Cooperación bilateral,,BOTNET; MALWARE; DETECCIÓN; TRÁFICO DE RED
Grids Híbridos Orientados a Servicios: Middleware y Herramientas para Soportar Algoritmos para Sistemas de Recomendación,Zunino Alejandro,2013,2015,PIP,11220120100185CO,GRID COMPUTACIONAL; SISTEMAS DE RECOMENDACIÓN; COMPUTACIÓN MÓVIL
Algoritmos evolutivos para planeamiento de proyectos que optimizan la efectividad de los recursos humanos asignados a las actividades,Yannibelli Virginia,2013,2015,PICT,2012-1748,ALGORITMOS EVOLUTIVOS; PLANEAMIENTO DE PROYECTOS; ASIGNACIÓN DE RECURSOS HUMANOS
Recomendación de Anomalias de Código relevantes a nivel Arquitectural,Diaz Pace Andres,2014,2015,Cooperación bilateral,BR/13/09,ANOMALÍAS DE CODIGO; HERRAMIENTA DE ASISTENCIA; ARQUITECTURAL DE SOFTWARE; ANÁLISIS Y HEURISTICAS
Estrategias para mejorar a evolución y el mantenimiento de sistemas,Marcos Claudia,2014,2015,CIC,813/137,REFACTORING; EVOLUCION; MANTENIMIENTO; CODE SMELLS
"Asistencia inteligente a usuarios en 
aplicaciones de escritorio, web y móviles",Teyseyre Alfredo,2012,2014,Proyecto de Incentivos,03/C237,ASISTENCIA INTELIGENTE
Reconocimiento de intenciones para la asistencia a usuarios en la Web,Armentano Marcelo,2011,2014,PICT,2011-0546,ASISTENCIA PERSONALIZADA; RECONOCIMIENTO DE INTENCIONES; MINERIA WEB; SISTEMAS DE RECOMENDACION; PERFILES DE USUARIO
Behavioral Detection of Advanced Persistent Threats in Computer Networks,Somol Petr,2014,2014,CZECH TECHNICAL UNIVERSITY,,NETWORK SECURITY; CYBER CRIME; COMPUTER NETWORKS; ANOMALY DETECTION
Métodos y Herramientas para Sistemas Masivamente Distribuidos,García Garino Carlos,2009,2013,PAE-PICT,2007-02312,COMPUTACION; SISTEMAS DISTRIBUIDOS
Agentes Inteligentes aplicados a la Gestión de Documentación de Arquitecturas de Software en Redes de Trabajo,Diaz Pace Andres,2011,2013,PICT,2010-2247,AGENTES INTELIGENTES; ARQUITECTURAS DE SOFTWARE; DOCUMENTACION; STAKEHOLDERS
Asistencia a usuarios durante la argumentación en trabajo colaborativo soportado por computadoras,Monteserin Ariel,2011,2013,PICT,2010- 1231,CSCW; ARGUMENTACIÓN COLABORATIVA; AGENTES PERSONALES; FORMACIÓN DE GRUPOS
Servicios Web Semánticos Móviles,Zunino Alejandro,2009,2013,PAE-PICT,2007-02311,SERVICIOS WEB; WEB SEMÁNTICA; SERVICIOS MÓVILES
Métodos inteligentes de recomendación y personalización de contenido en la Web,Godoy Daniela,2010,2012,PIP,114-200901-00381,SISTEMAS DE RECOMENDACIÓN; PERSONALIZACIÓN; APRENDIZAJE DE MÁQUINA
