Avatar,Nombre,Url,Titulo,Rol,Categoria,Institucion,Unicen,Spu,Pconicet,Pscholar,Porcid,Pdblp
../assets/avatars/Juan-Rodriguez.jpg,Rodriguez Juan Manuel,https://sites.google.com/site/rodriguezjuanmanuel/,Dr.,Investigador,Inv. Adjunto,CONICET,Ay. Dip. DS,III,http://www.conicet.gov.ar/new_scp/detalle.php?id=35330&datos_academicos=yes,https://scholar.google.com/citations?user=58Fbhc4AAAAJ,http://orcid.org/0000-0002-1130-8065,https://dblp.org/pid/22/8690.html
../assets/avatars/Silvia-Schiaffino.jpg,Schiaffino Silvia,http://www.exa.unicen.edu.ar/~sschia/,Dr.,Investigador,Inv. Principal,CONICET,Asoc. DE,I,http://www.conicet.gov.ar/new_scp/detalle.php?id=31910&datos_academicos=yes,https://scholar.google.com/citations?user=1NsivnkAAAAJ,http://orcid.org/0000-0002-7616-9756,https://dblp.org/pid/36/1730.html
../assets/avatars/Alvaro-Soria.jpg,Soria Alvaro,http://users.exa.unicen.edu.ar/~asoria/,Dr.,Investigador,Inv. Adjunto,CONICET,Adj. DE,V,http://www.conicet.gov.ar/new_scp/detalle.php?id=29296&datos_academicos=yes,https://scholar.google.com/citations?user=oD9IJ2YAAAAJ,,https://dblp.org/pid/08/3214.html
../assets/avatars/Antonela-Tommasel.png,Tommasel Antonela,https://scholar.google.com/citations?user=j9YmzPQAAAAJ,Dr.,Investigador,Inv. Asistente,CONICET,Ay. Dip. DS,V,http://www.conicet.gov.ar/new_scp/detalle.php?id=40665&datos_academicos=yes,https://scholar.google.com/citations?user=j9YmzPQAAAAJ,https://orcid.org/0000-0001-6091-8305,https://dblp.org/pid/162/4427.html
../assets/avatars/Santiago-Vidal.jpg,Vidal Santiago,http://sites.google.com/site/santiagoavidal,Dr.,Investigador,Inv. Adjunto,CONICET,Ay. Dip. DS,III,http://www.conicet.gov.ar/new_scp/detalle.php?id=34080&datos_academicos=yes,https://scholar.google.com/citations?user=j9YmzPQAAAAJ,http://orcid.org/0000-0003-2440-3034,https://dblp.org/pid/20/9534.html
../assets/avatars/Virginia-Yannibelli.jpg,Yannibelli Virginia,http://www.exa.unicen.edu.ar/~vyannibe,Dr.,Investigador,Inv. Asistente,CONICET,Adj. P1M,III,http://www.conicet.gov.ar/new_scp/detalle.php?id=29374&datos_academicos=yes,https://scholar.google.com/citations?user=-2nvVvcAAAAJ,https://orcid.org/0000-0001-7854-7610,https://dblp.org/pid/58/9344.html
../assets/avatars/Alejandro-Zunino.jpg,Zunino Alejandro,https://users.exa.unicen.edu.ar/~azunino/,Dr.,Investigador,Inv. Principal,CONICET,Asoc. DE,I,http://www.conicet.gov.ar/new_scp/detalle.php?id=31603&datos_academicos=yes,https://scholar.google.com/citations?user=fvcAHgwAAAAJ,http://orcid.org/0000-0002-9537-3541,https://dblp.org/pid/87/6727.html
../assets/avatars/Sebastian-Vallejos.jpg,Vallejos Sebastian,http://www.conicet.gov.ar/new_scp/detalle.php?id=49986&datos_academicos=yes,Dr.,Becario,Beca Postdoc,CONICET,Ay. Dip. DS,-,http://www.conicet.gov.ar/new_scp/detalle.php?id=49986&datos_academicos=yes,,,https://dblp.org/pid/227/7843.html
../assets/avatars/Leo-Aruajo.jpeg,Leonardo Araújo,http://www.conicet.gov.ar/new_scp/detalle.php?id=&datos_academicos=yes,Ing.,Becario,Beca Latinoamaricana Doct.,CONICET,-,-,http://www.conicet.gov.ar/new_scp/detalle.php?id=&datos_academicos=yes,,,
../assets/avatars/Alfredo-Teyseyre.png,Teyseyre Alfredo,http://www.exa.unicen.edu.ar/~teyseyre/,Dr.,Pers. de Apoyo,Profesional Principal,CONICET,Adj. DE,III,http://www.conicet.gov.ar/new_scp/detalle.php?id=48022&datos_academicos=yes,https://scholar.google.com/citations?user=vw__rf0AAAAJ,https://orcid.org/0000-0003-3289-5489,https://dblp.org/pid/60/4328.html
../assets/avatars/Juan-Toloza.png,Toloza Juan Manuel,https://scholar.google.com/citations?hl=en&user=JIEjC4oAAAAJ,Dr.,Pers. de Apoyo,Profesional Adjunto,CONICET,Ay. Dip. DS,V,https://www.conicet.gov.ar/new_scp/detalle.php?id=41967&datos_academicos=yes,https://scholar.google.com/citations?hl=en&user=JIEjC4oAAAAJ,https://orcid.org/0000-0002-7609-9604,https://dblp.org/pid/142/2589.html
../assets/avatars/Maria-Patricia-Canevello.png,Canevello Patricia,https://www.conicet.gov.ar/new_scp/detalle.php?keywords=&id=59469&datos_academicos=yes,Cr.,Asist. Administrativo,Profesional,CONICET,-,-,http://www.conicet.gov.ar/new_scp/detalle.php?keywords=&id=51182&rrhh=yes,,,
